sessions,ours (s),plume (s)
10,0.523742,7.651491
20,0.529054,6.622107
30,0.491186,7.23422
40,0.497734,6.659639
50,0.525441,6.623426
60,0.511236,7.163629
70,0.490034,6.860108
80,0.526653,7.439521
90,0.526991,6.668222
100,0.522537,6.389544
