#sessions,ours (s),plume (s)
10,0.567031,7.363407
20,0.576048,7.956642
30,0.592282,9.054393
40,0.593798,10.537292
50,0.58019,11.59714
60,0.558294,13.72989
70,0.588743,15.922267
80,0.590447,18.525854
90,0.587165,20.414773
100,0.588138,22.015031
