sessions,ours (s),plume (s)
10,0.56569,7.467512
20,0.544037,9.028131
30,0.522623,8.279809
40,0.517268,8.016525
50,0.530043,13.612431
60,0.522522,17.097297
70,0.52815,18.033832
80,0.534874,22.197896
90,0.533329,26.515982
100,0.532745,30.196757
