sessions,ours (s),plume (s)
10,0.565569,6.77113
20,0.549528,7.618846
30,0.550571,6.847683
40,0.543188,7.635203
50,0.532657,8.180546
60,0.477448,9.51823
70,0.512573,11.072509
80,0.507292,12.235205
90,0.473617,14.214518
100,0.474459,14.172233
