#txns,ours,plume
500,0.013462s,0.807784s
1000,0.027728s,0.935269s
10000,0.115512s,3.081492s
5000,0.084828s,1.991255s
50000,0.55278s,8.299368s
100,0.006913s,0.527568s
100000,1.140403s,18.431912s
