#txns,ours,plume,dbcop
100,0.007585,0.49185,0.008165
500,0.010154,0.590314,0.055375
1000,0.009238,0.731153,0.409902
5000,0.034213,1.174069,586.321525
10000,0.071166,2.100259,DNF
50000,0.237547,4.523062,DNF
100000,0.482881,7.567813,DNF
