#txns,ours,plume
50000,0.526474s,8.202198s
10000,0.122159s,2.846791s
1000,0.015079s,0.876033s
100000,1.045665s,15.928219s
100,0.008186s,0.497915s
500,0.016939s,0.895137s
5000,0.073797s,2.128254s
