#txns,ours,plume,dbcop
100000,1.988462s,17.242497s,DNF
50000,0.905156s,8.563792s,DNF
10000,0.175487s,2.944086s,DNF
100,0.006471s,0.533192s,0.00913s
1000,0.026802s,0.957857s,0.357635s
5000,0.107669s,1.982648s,596.965013s
500,0.016516s,0.739507s,0.048481s
