#txns,ours,plume
100000,1.224422s,19.587036s
10000,0.126834s,2.418789s
1000,0.017583s,0.885183s
500,0.015934s,0.758286s
100,0.005176s,0.484305s
5000,0.06478s,1.6568s
50000,0.564348s,8.039172s
