#txns,ours,plume
500,0.015995s,0.700261s
1000,0.017168s,0.878799s
10000,0.118132s,2.346106s
5000,0.064368s,1.727063s
50000,0.485156s,6.495832s
100,0.008985s,0.47214s
100000,0.965789s,14.323968s
