#txns,ours,plume
100000,1.176685s,15.334563s
50000,0.542032s,7.709383s
10000,0.124851s,2.255991s
100,0.006472s,0.461996s
1000,0.017558s,0.872535s
5000,0.059392s,1.673519s
500,0.016688s,0.857852s
