#txns,ours,plume,dbcop
100,0.007495,0.475428,0.008922
500,0.007191,0.592463,0.033959
1000,0.009644,0.745298,0.459147
5000,0.035534,1.145751,521.299395
10000,0.071714,2.163758,DNF
50000,0.216605,4.708134,DNF
100000,0.485421,8.684867,DNF
