#txns,ours,plume,dbcop
100,0.021074s,0.761689s,0.015531s
500,0.077012s,1.440686s,0.350002s
5000,0.5767s,4.95996s,DNF
10000,1.168373s,7.935482s,DNF
100000,13.473908s,103.707258s,DNF
1000,0.158382s,2.126177s,9.602717s
50000,6.491272s,37.168564s,DNF
