#txns,ours,plume,dbcop
100,0.021074,0.761689,0.015531
500,0.077012,1.440686,0.350002
1000,0.158382,2.126177,9.602717
5000,0.5767,4.95996,DNF
10000,1.168373,7.935482,DNF
50000,6.491272,37.168564,DNF
100000,13.473908,103.707258,DNF
