#txns,ours,plume
100000,0.264275s,6.981415s
1000,0.011285s,0.627564s
100,0.007785s,0.501636s
5000,0.030772s,0.922416s
500,0.007395s,0.556479s
50000,0.155206s,3.763204s
10000,0.039808s,1.776689s
