#txns,ours,plume,dbcop
100,0.004946,0.594492,0.01071
500,0.012033,0.855301,0.041057
1000,0.02913,0.910768,0.420954
5000,0.102233,1.866378,594.201006
10000,0.178917,2.677665,DNF
50000,0.926682,9.333317,DNF
100000,2.131515,21.341561,DNF
