#txns,ours,plume
10000,0.12186s,2.393632s
1000,0.01754s,0.863002s
100000,0.959446s,13.501862s
100,0.006818s,0.473259s
5000,0.088685s,1.746147s
500,0.016395s,0.773915s
50000,0.500349s,6.429992s
