#txns,ours,plume
100000,1.43261s,24.14337s
100,0.009501s,0.487454s
500,0.014203s,0.753799s
1000,0.02551s,0.921668s
10000,0.151368s,3.337839s
5000,0.094416s,2.019619s
50000,0.645875s,10.144243s
