#txns,ours,plume
100000,1.421471s,21.62234s
10000,0.138207s,3.029612s
1000,0.0258s,0.940922s
500,0.017356s,0.811523s
100,0.006752s,0.529434s
5000,0.091467s,1.977373s
50000,0.656987s,9.661991s
