#txns,ours,plume,dbcop
100,0.008194,0.563487,0.005167
500,0.013399,0.838694,0.051611
1000,0.01617,0.991733,1.017485
5000,0.107385,2.228728,DNF
10000,0.124314,3.076139,DNF
50000,0.767626,7.96901,DNF
100000,1.596697,18.424924,DNF
