#txns,ours,plume,dbcop
100,0.009997,0.516797,0.010494
500,0.013398,0.822871,0.074004
1000,0.02993,0.944003,1.179518
5000,0.09696,2.192996,DNF
10000,0.166756,3.085034,DNF
50000,0.770892,8.390811,DNF
100000,1.625408,17.785919,DNF
