#txns,ours,plume,dbcop
500,0.013398s,0.822871s,0.074004s
1000,0.02993s,0.944003s,1.179518s
10000,0.166756s,3.085034s,DNF
5000,0.09696s,2.192996s,DNF
50000,0.770892s,8.390811s,DNF
100,0.009997s,0.516797s,0.010494s
100000,1.625408s,17.785919s,DNF
