#txns,ours,plume
10000,0.147877s,3.072487s
1000,0.026365s,0.965866s
100000,1.12457s,18.165215s
100,0.009143s,0.546307s
5000,0.080284s,2.148881s
500,0.013929s,0.812864s
50000,0.573386s,8.049549s
