#txns,ours,plume,dbcop
100000,2.131515s,21.341561s,DNF
10000,0.178917s,2.677665s,DNF
1000,0.02913s,0.910768s,0.420954s
500,0.012033s,0.855301s,0.041057s
100,0.004946s,0.594492s,0.01071s
5000,0.102233s,1.866378s,594.201006s
50000,0.926682s,9.333317s,DNF
