#txns,ours,plume
10000,0.052017s,2.107084s
5000,0.027388s,1.17952s
500,0.010096s,0.653841s
50000,0.180366s,4.715138s
1000,0.009362s,0.731872s
100000,0.321442s,8.341074s
100,0.008005s,0.501348s
