#txns,ours,plume
10000,0.05199s,1.849066s
5000,0.021137s,1.119045s
500,0.009351s,0.492503s
50000,0.133813s,3.737706s
1000,0.00896s,0.653112s
100000,0.2606s,6.701133s
100,0.005739s,0.489134s
