#txns,ours,plume,dbcop
100,0.004355,0.506879,0.008204
500,0.010008,0.543687,0.049574
1000,0.01354,0.681291,0.464273
5000,0.034285,1.141029,552.445711
10000,0.036718,1.999811,DNF
50000,0.210977,4.993241,DNF
100000,0.464989,9.028991,DNF
