#txns,ours,plume
50000,0.474282s,6.442019s
10000,0.119461s,2.381366s
1000,0.016263s,0.838167s
100000,0.903221s,11.899383s
100,0.008297s,0.521144s
500,0.011623s,0.746213s
5000,0.070266s,1.762385s
