#txns,ours,plume,dbcop
50000,0.710169s,8.229498s,DNF
10000,0.162618s,3.240526s,DNF
1000,0.019913s,1.012311s,0.598171s
100000,1.459482s,16.002652s,DNF
100,0.009664s,0.581416s,0.007279s
500,0.017026s,0.744241s,0.059271s
5000,0.089485s,2.026494s,565.933756s
