#txns,ours,plume,dbcop
100,0.006471,0.533192,0.00913
500,0.016516,0.739507,0.048481
1000,0.026802,0.957857,0.357635
5000,0.107669,1.982648,596.965013
10000,0.175487,2.944086,DNF
50000,0.905156,8.563792,DNF
100000,1.988462,17.242497,DNF
