#txns,ours,plume
100000,0.329556s,9.284515s
1000,0.011423s,0.769202s
100,0.005736s,0.582451s
5000,0.034128s,1.166031s
500,0.007477s,0.599256s
50000,0.181174s,4.908524s
10000,0.046932s,2.053697s
