#txns,ours,plume,dbcop
1000,0.009238s,0.731153s,0.409902s
50000,0.237547s,4.523062s,DNF
100,0.007585s,0.49185s,0.008165s
100000,0.482881s,7.567813s,DNF
500,0.010154s,0.590314s,0.055375s
5000,0.034213s,1.174069s,586.321525s
10000,0.071166s,2.100259s,DNF
