#txns,ours,plume,dbcop
100000,0.464989s,9.028991s,DNF
1000,0.01354s,0.681291s,0.464273s
100,0.004355s,0.506879s,0.008204s
5000,0.034285s,1.141029s,552.445711s
500,0.010008s,0.543687s,0.049574s
50000,0.210977s,4.993241s,DNF
10000,0.036718s,1.999811s,DNF
