#txns,ours,plume,dbcop
10000,0.071714s,2.163758s,DNF
5000,0.035534s,1.145751s,521.299395s
500,0.007191s,0.592463s,0.033959s
50000,0.216605s,4.708134s,DNF
1000,0.009644s,0.745298s,0.459147s
100000,0.485421s,8.684867s,DNF
100,0.007495s,0.475428s,0.008922s
