#txns,ours,plume
1000,0.009493s,0.649634s
50000,0.145783s,3.448222s
100,0.008535s,0.465061s
100000,0.264027s,6.153785s
500,0.009472s,0.577542s
5000,0.027966s,1.119135s
10000,0.041975s,1.66302s
