#txns,ours,plume,dbcop
10000,0.124314s,3.076139s,DNF
1000,0.01617s,0.991733s,1.017485s
100000,1.596697s,18.424924s,DNF
100,0.008194s,0.563487s,0.005167s
5000,0.107385s,2.228728s,DNF
500,0.013399s,0.838694s,0.051611s
50000,0.767626s,7.96901s,DNF
