#txns,ours,plume,dbcop
100,0.007735,0.537838,0.010011
500,0.01495,0.905007,0.037211
1000,0.027634,0.943435,0.337899
5000,0.103645,2.085459,593.126015
10000,0.138418,3.05644,DNF
50000,0.912538,10.054638,DNF
100000,2.221789,23.945799,DNF
