#txns,ours,plume
100,0.013699s,0.820548s
500,0.067443s,1.503254s
5000,0.442227s,4.983745s
10000,0.867007s,7.962166s
100000,8.959515s,102.836017s
1000,0.115346s,1.978559s
50000,4.592319s,36.886709s
