#txns,ours,plume
100000,1.359759s,18.405108s
50000,0.63312s,9.059515s
10000,0.151119s,2.882851s
100,0.006711s,0.501255s
1000,0.020204s,0.923631s
5000,0.052088s,2.052341s
500,0.013086s,0.861107s
