#txns,ours,plume
1000,0.011521s,0.696635s
50000,0.197897s,4.688873s
100,0.005941s,0.502558s
100000,0.342294s,7.576355s
500,0.008426s,0.599528s
5000,0.021311s,1.200906s
10000,0.056292s,2.062748s
