#txns,ours,plume,dbcop
100,0.009664,0.581416,0.007279
500,0.017026,0.744241,0.059271
1000,0.019913,1.012311,0.598171
5000,0.089485,2.026494,565.933756
10000,0.162618,3.240526,DNF
50000,0.710169,8.229498,DNF
100000,1.459482,16.002652,DNF
