#txns,ours,plume
100000,1.232581s,21.401309s
100,0.009058s,0.464203s
500,0.015865s,0.770117s
1000,0.020172s,0.928923s
10000,0.136289s,2.306005s
5000,0.071301s,1.712121s
50000,0.552204s,8.702243s
