database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,tpcc,756092,100,21426307,3066796,N/A,21.877213,3148.79,C
rocksdb,tpcc,1514105,100,42274017,5541737,N/A,53.933376,6370.66,C
rocksdb,rubis,871,50,6863,2753,N/A,0.009389,1.64,C
rocksdb,rubis,1793,50,13641,4888,N/A,0.016971,3.20,C
rocksdb,rubis,3639,50,25700,7901,N/A,0.028017,5.61,C
rocksdb,rubis,7411,50,49028,12171,N/A,0.05134,10.09,C
rocksdb,rubis,14888,50,93354,18633,N/A,0.09796,23.06,C
rocksdb,rubis,29823,50,181561,31313,N/A,0.151922,40.13,C
rocksdb,rubis,59328,50,353349,57184,N/A,0.323903,74.48,C
rocksdb,rubis,118977,50,702514,107486,N/A,0.648441,144.34,C
rocksdb,rubis,237763,50,1399622,208794,N/A,1.39124,280.31,C
rocksdb,rubis,475575,50,2786882,412194,N/A,3.019784,555.09,C
rocksdb,rubis,950974,50,5572514,817564,N/A,6.67298,1121.69,C
cockroachdb,tpcc,1690,100,63928,25747,N/A,0.044791,8.55,C
cockroachdb,tpcc,3006,100,112432,42027,N/A,0.088525,15.19,C
cockroachdb,tpcc,7287,100,236383,73464,N/A,0.149372,33.93,C
cockroachdb,tpcc,14263,100,454555,126130,N/A,0.26034,67.00,C
cockroachdb,tpcc,27641,100,846993,211548,N/A,0.528075,115.26,C
cockroachdb,tpcc,55022,100,1637972,363635,N/A,1.245075,231.39,I
cockroachdb,tpcc,108552,100,3151500,622270,N/A,2.774434,455.08,C
cockroachdb,tpcc,220510,100,6170109,1062722,N/A,5.852613,909.60,C
cockroachdb,tpcc,438806,100,12015687,1845689,N/A,11.035839,1852.08,C
cockroachdb,tpcc,875087,100,23566290,3282072,N/A,23.532696,3502.57,C
cockroachdb,tpcc,1752078,100,46521224,5985503,N/A,56.428954,7072.87,C
rocksdb,rubis,803,100,6191,2515,N/A,0.008441,1.65,C
rocksdb,rubis,1694,100,12704,4696,N/A,0.016191,3.02,C
rocksdb,rubis,3504,100,24903,7802,N/A,0.019826,5.51,C
rocksdb,rubis,7363,100,48533,12073,N/A,0.034406,9.82,C
rocksdb,rubis,14802,100,92712,18500,N/A,0.095506,20.04,C
rocksdb,rubis,29913,100,182398,31366,N/A,0.145615,39.96,C
rocksdb,rubis,59994,100,358393,56948,N/A,0.333792,74.92,C
rocksdb,rubis,120550,100,715688,107642,N/A,0.62681,144.44,C
rocksdb,rubis,241384,100,1426709,209418,N/A,1.37432,281.42,C
rocksdb,rubis,482693,100,2849541,411494,N/A,3.062608,557.18,C
rocksdb,rubis,965723,100,5694298,816005,N/A,6.815179,1116.36,C
rocksdb,tpcc,1684,50,70417,28980,N/A,0.03871,11.18,C
