database,script,txns,sessions,events,keys,ops_per_txn,ours (s),ours (MiB),ours (res)
rocksdb,twitter,471728,100,3050486,317941,N/A,2.432424,306.35,C
rocksdb,twitter,938059,100,5972994,557522,N/A,5.075187,606.67,C
postgres,rubis,1003,100,8302,3181,N/A,0.012274,1.59,C
postgres,rubis,1988,100,15673,5271,N/A,0.014111,3.14,C
postgres,rubis,3997,100,28965,8191,N/A,0.022148,4.21,C
postgres,rubis,7915,100,53293,12088,N/A,0.030674,8.14,C
postgres,rubis,15869,100,101267,18657,N/A,0.084818,15.64,C
postgres,rubis,31755,100,197435,31416,N/A,0.135481,24.37,C
postgres,rubis,63343,100,387390,56364,N/A,0.282381,59.86,C
postgres,rubis,126718,100,769316,106414,N/A,0.508658,82.60,C
postgres,rubis,253885,100,1533108,208424,N/A,1.060423,152.14,C
postgres,rubis,507729,100,3060257,409366,N/A,2.329472,290.41,C
postgres,rubis,1015023,100,6111542,811160,N/A,4.941899,566.15,C
cockroachdb,twitter,1017,50,8634,3506,N/A,0.009179,2.08,C
cockroachdb,twitter,2034,50,16044,5929,N/A,0.016258,3.39,C
cockroachdb,twitter,4062,50,29111,9410,N/A,0.026046,4.25,C
cockroachdb,twitter,8113,50,55227,14528,N/A,0.04805,7.69,C
cockroachdb,twitter,16232,50,107794,21879,N/A,0.075979,11.25,C
cockroachdb,twitter,32477,50,221284,35272,N/A,0.123899,30.80,C
cockroachdb,twitter,64908,50,463516,59984,N/A,0.274002,64.52,C
cockroachdb,twitter,130157,50,1004606,103341,N/A,0.647378,139.49,C
cockroachdb,twitter,259670,50,2158566,181912,N/A,1.597084,301.38,C
cockroachdb,twitter,519776,50,4548563,318776,N/A,3.275179,431.33,C
cockroachdb,twitter,1039604,50,9245578,558361,N/A,7.148995,882.01,C
rocksdb,tpcc,1402,100,58559,24485,N/A,0.04057,7.32,C
rocksdb,tpcc,3108,100,120505,45970,N/A,0.073801,14.32,C
rocksdb,tpcc,5817,100,215210,71084,N/A,0.09845,24.71,C
rocksdb,tpcc,11843,100,404052,117098,N/A,0.184329,48.56,C
rocksdb,tpcc,24477,100,789709,199965,N/A,0.435713,88.02,C
rocksdb,tpcc,48217,100,1507931,341553,N/A,0.97297,171.36,C
rocksdb,tpcc,95045,100,2881027,582563,N/A,2.052941,336.72,C
rocksdb,tpcc,188674,100,5604325,1004556,N/A,3.85331,671.58,C
rocksdb,tpcc,377636,100,10893963,1732496,N/A,7.879291,1333.14,C
rocksdb,tpcc,756092,100,21426307,3066796,N/A,17.613116,1826.22,C
rocksdb,tpcc,1514105,100,42274017,5541737,N/A,41.311245,3561.11,C
rocksdb,rubis,803,100,6191,2515,N/A,0.011321,1.67,C
rocksdb,rubis,1694,100,12704,4696,N/A,0.014876,2.07,C
rocksdb,rubis,3504,100,24903,7802,N/A,0.015445,3.73,C
rocksdb,rubis,7363,100,48533,12073,N/A,0.029226,7.21,C
rocksdb,rubis,14802,100,92712,18500,N/A,0.070348,14.58,C
rocksdb,rubis,29913,100,182398,31366,N/A,0.150033,28.51,C
rocksdb,rubis,59994,100,358393,56948,N/A,0.237451,42.06,C
rocksdb,rubis,120550,100,715688,107642,N/A,0.497161,105.01,C
rocksdb,rubis,241384,100,1426709,209418,N/A,0.964774,144.00,C
rocksdb,rubis,482693,100,2849541,411494,N/A,2.166216,273.43,C
rocksdb,rubis,965723,100,5694298,816005,N/A,4.891531,764.26,C
postgres,tpcc,1559,50,61996,25412,N/A,0.049598,7.45,C
postgres,tpcc,2840,50,108815,41352,N/A,0.064561,16.68,I
postgres,tpcc,6717,50,237386,79043,N/A,0.143687,34.24,C
postgres,tpcc,13016,50,434819,125682,N/A,0.205887,50.60,C
postgres,tpcc,28902,50,903953,221594,N/A,0.469065,98.38,I
postgres,tpcc,56153,50,1707685,377477,N/A,0.975561,132.33,C
postgres,tpcc,111608,50,3285875,643549,N/A,2.249648,259.48,C
postgres,tpcc,222615,50,6356005,1102065,N/A,5.308886,750.52,C
postgres,tpcc,442989,50,12442735,1931844,N/A,10.318798,1515.68,C
postgres,tpcc,886437,50,24420983,3434033,N/A,19.932855,3015.81,C
postgres,tpcc,1777734,50,48247456,6233519,N/A,46.331674,6070.29,C
cockroachdb,rubis,1010,100,8453,3226,N/A,0.008613,1.84,C
cockroachdb,rubis,1991,100,15697,5290,N/A,0.018207,3.15,C
cockroachdb,rubis,3997,100,29180,8207,N/A,0.028815,4.25,C
cockroachdb,rubis,7984,100,53965,12026,N/A,0.047495,8.11,C
cockroachdb,rubis,15992,100,102408,18582,N/A,0.064923,16.19,C
cockroachdb,rubis,31977,100,197367,31669,N/A,0.130319,31.34,C
cockroachdb,rubis,64045,100,389659,57142,N/A,0.262694,46.02,C
cockroachdb,rubis,127835,100,772458,107950,N/A,0.484744,83.24,C
cockroachdb,rubis,255496,100,1538116,208611,N/A,1.049887,152.88,C
cockroachdb,rubis,511321,100,3071562,413300,N/A,2.459292,416.20,C
cockroachdb,rubis,1022997,100,6142190,821566,N/A,5.031499,821.38,C
rocksdb,rubis,871,50,6863,2753,N/A,0.01054,1.82,C
rocksdb,rubis,1793,50,13641,4888,N/A,0.015201,2.21,C
rocksdb,rubis,3639,50,25700,7901,N/A,0.026431,4.12,C
rocksdb,rubis,7411,50,49028,12171,N/A,0.035344,6.00,C
rocksdb,rubis,14888,50,93354,18633,N/A,0.079438,14.46,C
rocksdb,rubis,29823,50,181561,31313,N/A,0.115343,22.39,C
rocksdb,rubis,59328,50,353349,57184,N/A,0.247814,54.40,C
rocksdb,rubis,118977,50,702514,107486,N/A,0.471495,103.34,C
rocksdb,rubis,237763,50,1399622,208794,N/A,0.96131,141.73,C
rocksdb,rubis,475575,50,2786882,412194,N/A,2.136032,381.55,C
rocksdb,rubis,950974,50,5572514,817564,N/A,4.527827,530.20,C
cockroachdb,rubis,1006,50,8376,3183,N/A,0.014078,1.61,C
cockroachdb,rubis,2011,50,15807,5271,N/A,0.016792,2.77,C
cockroachdb,rubis,4025,50,28966,8170,N/A,0.028763,4.21,C
cockroachdb,rubis,8030,50,53620,12192,N/A,0.044182,8.10,C
cockroachdb,rubis,16049,50,101804,18788,N/A,0.076341,16.02,C
cockroachdb,rubis,32139,50,198652,31660,N/A,0.161561,31.31,C
cockroachdb,rubis,64220,50,390492,57220,N/A,0.245107,45.84,C
cockroachdb,rubis,128430,50,774226,108938,N/A,0.506755,83.59,C
cockroachdb,rubis,257261,50,1548254,211181,N/A,1.054474,154.47,C
cockroachdb,rubis,515325,50,3088292,417025,N/A,2.398941,420.38,C
cockroachdb,rubis,1029093,50,6162204,827140,N/A,5.069555,828.02,C
postgres,tpcc,1792,100,67382,27474,N/A,0.044214,9.11,C
postgres,tpcc,3221,100,113831,42266,N/A,0.056472,16.92,C
postgres,tpcc,6339,100,211011,70040,N/A,0.124373,24.32,C
postgres,tpcc,13657,100,415699,115297,N/A,0.210746,37.27,C
postgres,tpcc,27053,100,804194,198130,N/A,0.42106,89.61,C
postgres,tpcc,52930,100,1525392,336201,N/A,0.950137,174.93,I
postgres,tpcc,106914,100,2972843,571853,N/A,2.087711,350.59,C
postgres,tpcc,210643,100,5707765,972422,N/A,3.834688,480.78,C
postgres,tpcc,427535,100,11331147,1682928,N/A,8.040537,960.49,C
postgres,tpcc,851346,100,22087897,2969990,N/A,18.254306,1878.78,C
postgres,tpcc,1698605,100,43431622,5351888,N/A,44.853893,5694.87,I
cockroachdb,tpcc,1690,100,63928,25747,N/A,0.0378,7.50,C
cockroachdb,tpcc,3006,100,112432,42027,N/A,0.056346,16.82,C
cockroachdb,tpcc,7287,100,236383,73464,N/A,0.102921,20.10,C
cockroachdb,tpcc,14263,100,454555,126130,N/A,0.220679,52.21,C
cockroachdb,tpcc,27641,100,846993,211548,N/A,0.400593,66.08,C
cockroachdb,tpcc,55022,100,1637972,363635,N/A,0.994244,184.11,I
cockroachdb,tpcc,108552,100,3151500,622270,N/A,2.166249,363.46,C
cockroachdb,tpcc,220510,100,6170109,1062722,N/A,5.031541,732.28,C
cockroachdb,tpcc,438806,100,12015687,1845689,N/A,8.810298,1007.71,C
cockroachdb,tpcc,875087,100,23566290,3282072,N/A,18.841365,1987.25,C
cockroachdb,tpcc,1752078,100,46521224,5985503,N/A,44.753691,5858.96,C
