txns,ours (s),plume (s),polysi (s),dbcop (s),causalc+ (s),mono (s)
1024,0.108347,2.108532,6.691671,1.218175,13.162988,0.614092
2048,0.189932,2.870556,10.832939,45.280924,449.888196,2.272766
4096,0.372645,4.395809,15.577724,DNF,DNF,12.128205
8192,0.76585,6.610779,25.521493,DNF,DNF,61.65525
16384,1.612876,12.233662,65.158812,DNF,DNF,283.012715
32768,3.636475,25.132992,290.963841,DNF,DNF,DNF
