txns,ours (s),plume (s),polysi (s),dbcop (s),causalc+ (s),mono (s)
1024,0.024703,1.107008,4.06012,0.232254,1.990727,0.188446
2048,0.023684,1.473974,8.299615,7.592091,68.415924,0.617164
4096,0.063754,2.137301,12.357912,211.802141,DNF,2.984966
8192,0.11022,3.0388,21.801886,DNF,DNF,15.404128
16384,0.219886,4.712528,68.32004,DNF,DNF,65.834095
32768,0.416993,7.78579,DNF,DNF,DNF,378.171921
