txns,ours (s),plume (s)
1024,0.011874,0.863499
2048,0.015015,1.237375
4096,0.029085,1.671027
8192,0.02872,2.284889
16384,0.070077,3.223832
32768,0.156212,6.712066
65536,0.306615,20.499276
131072,0.606518,86.33983
262144,1.397401,611.40708
524288,3.032451,3244.725389
1048576,6.836462,DNF
