txns,ours (s),plume (s)
1024,0.059302,1.959267
2048,0.100565,2.511552
4096,0.166582,3.932481
8192,0.263437,6.668321
16384,0.523918,11.155357
32768,1.150994,23.624833
65536,2.650136,52.729141
131072,5.974701,150.415316
262144,11.124273,692.264021
524288,22.314394,2134.50918
1048576,53.38341,DNF
