txns,actual_txns,sessions,events,keys
1024,1011,100,8556,3504
2048,2017,100,15402,5765
4096,3977,100,29193,9446
8192,8045,100,55002,14351
16384,16035,100,106956,21971
32768,32100,100,217777,34869
65536,64297,100,461582,59015
131072,128850,100,1002036,102134
262144,257920,100,2159484,180527
524288,516497,100,4545643,318296
1048576,1033128,100,9255091,556942
