txns,ours (s),plume (s),dbcop (s)
1024,0.228605,2.02403,0.260352
2048,0.365093,2.88886,5.326468
4096,0.59694,4.09393,256.207883
8192,1.211858,6.282244,DNR
16384,2.617951,9.995096,DNR
32768,5.544072,20.085771,DNR
65536,11.713268,58.746138,DNR
131072,24.415367,132.454931,DNR
262144,55.723625,594.242668,DNR
524288,124.929137,1645.875007,DNR
1048576,79.365342,DNF,DNR
