txns,ours (s),plume (s)
1024,0.118186,1.840985
2048,0.160275,2.319264
4096,0.326904,3.706471
8192,0.601427,6.318988
16384,1.278471,10.748151
32768,2.632129,21.171492
65536,5.513443,49.852986
131072,11.843041,151.126597
262144,23.252108,694.724982
524288,45.632118,1946.191539
1048576,98.120576,DNF
