txns,ours (s),plume (s),dbcop (s)
1024,0.030194,0.945582,0.031867
2048,0.055884,1.350379,0.278975
4096,0.074814,1.969074,16.693437
8192,0.145745,3.061235,DNR
16384,0.28285,4.610407,DNR
32768,0.595091,7.924796,DNR
65536,1.577706,22.851018,DNR
131072,3.904522,84.346404,DNR
262144,10.140324,592.053017,DNR
524288,25.455746,3176.846102,DNR
1048576,59.572066,DNF,DNR
