txns,ours (s),plume (s),dbcop (s)
1024,0.035712,0.956362,0.247442
2048,0.064959,1.374463,7.550647
4096,0.082058,2.119283,212.387627
8192,0.175289,3.01211,DNR
16384,0.31325,4.8043,DNR
32768,0.623975,6.895953,DNR
65536,1.322011,17.23047,DNR
131072,2.963006,38.863486,DNR
262144,6.912255,221.868285,DNR
524288,15.638687,1084.890573,DNR
1048576,37.613778,3155.62736,DNR
