txns,ours (s),plume (s)
1024,0.024934,0.864458
2048,0.041612,1.181664
4096,0.073448,1.523808
8192,0.106271,2.256191
16384,0.197412,3.260224
32768,0.344019,7.914056
65536,0.659101,29.367927
131072,1.330486,149.582622
262144,2.722839,597.369282
524288,5.69173,1862.811158
1048576,11.611552,5929.227421
