txns,actual_txns,sessions,events,keys
1024,988,100,8311,3490
2048,1966,100,15049,5772
4096,3905,100,28046,9257
8192,7732,100,52259,14246
16384,15350,100,99424,22096
32768,30380,100,191761,34975
65536,60235,100,383497,59224
131072,120039,100,773631,102976
262144,237157,100,1534285,179762
524288,471728,100,3050486,317941
1048576,938059,100,5972994,557522
