txns,ours (s),plume (s),dbcop (s)
1024,0.023433,0.833538,0.048759
2048,0.062336,1.311827,1.058987
4096,0.112543,2.007487,72.603856
8192,0.186933,3.417588,DNR
16384,0.337565,5.545194,DNR
32768,0.65173,13.111114,DNR
65536,1.471888,53.352629,DNR
131072,3.394777,193.693242,DNR
262144,7.996815,714.330139,DNR
524288,18.933113,2188.247345,DNR
1048576,47.666914,6880.475392,DNR
