txns,ours (s),plume (s),dbcop (s)
1024,0.029968,0.860031,0.13491
2048,0.038824,1.506396,5.442706
4096,0.0952,1.931469,151.070429
8192,0.166845,3.07028,DNR
16384,0.276723,4.435684,DNR
32768,0.556131,8.102532,DNR
65536,1.157794,18.114831,DNR
131072,2.623942,66.853126,DNR
262144,5.899003,189.519073,DNR
524288,13.57633,649.497481,DNR
1048576,31.996227,2211.143569,DNR
