txns,ours (s),plume (s),dbcop (s)
1024,0.043316,0.998478,0.064581
2048,0.075638,1.430697,0.996321
4096,0.126227,1.989294,84.0606
8192,0.197445,3.331599,DNR
16384,0.382234,5.269632,DNR
32768,0.753223,12.487929,DNR
65536,1.673466,34.325245,DNR
131072,3.860413,151.88033,DNR
262144,9.160597,394.021499,DNR
524288,20.870519,1402.720481,DNR
1048576,52.838779,4982.423451,DNR
