txns,ours (s),plume (s)
1024,0.045172,1.818095
2048,0.057598,2.466659
4096,0.144231,3.888099
8192,0.270217,5.837954
16384,0.566232,9.742069
32768,1.253179,17.852407
65536,2.807756,35.069774
131072,5.966571,87.679055
262144,11.535367,373.433637
524288,24.902216,974.876908
1048576,54.649223,DNF
