txns,actual_txns,sessions,events,keys
1024,1000,50,8409,3550
2048,1999,50,15846,6036
4096,4013,50,29281,9469
8192,7942,50,54718,14538
16384,15856,50,103840,22034
32768,31371,50,201261,35242
65536,62149,50,403613,59742
131072,122733,50,804354,103760
262144,242459,50,1603636,181419
524288,481027,50,3176724,319502
1048576,956588,50,6232203,559815
