txns,ours (s),plume (s)
1024,0.02703,0.868763
2048,0.047491,1.48067
4096,0.074308,2.053634
8192,0.137951,3.291199
16384,0.222154,5.336933
32768,0.395636,12.566366
65536,0.755501,34.472782
131072,1.556926,158.746651
262144,3.177329,413.066041
524288,6.537053,1481.066128
1048576,13.416672,4955.392688
