txns,ours (s),plume (s)
1024,0.116816,1.673704
2048,0.148297,2.322283
4096,0.335737,3.744749
8192,0.616777,6.154758
16384,1.26745,10.462814
32768,2.654257,21.093477
65536,5.582567,48.139453
131072,11.600782,200.793848
262144,23.233779,559.240368
524288,46.719605,3121.076912
1048576,102.373139,DNF
