txns,ours (s),plume (s),dbcop (s)
1024,0.200194,1.967127,0.23601
2048,0.378952,2.651128,7.200753
4096,0.632426,4.272089,322.244863
8192,1.199825,6.48857,DNR
16384,2.566761,11.111353,DNR
32768,5.472748,27.868108,DNR
65536,11.139653,69.527577,DNR
131072,23.930526,238.393975,DNR
262144,52.164142,798.960434,DNR
524288,122.226651,2641.502124,DNR
1048576,299.802167,DNF,DNR
