txns,actual_txns,sessions,events,keys
1024,1014,100,8677,3580
2048,2011,100,15796,5939
4096,4034,100,29573,9633
8192,8043,100,54526,14123
16384,16106,100,107399,21815
32768,32181,100,218122,34971
65536,64401,100,461205,59561
131072,128689,100,994922,102429
262144,256727,100,2120512,180197
524288,513190,100,4400570,318671
1048576,1025246,100,8939662,556197
